H3K4me3	H3K9me2	H3K27me3	H3K5ac	H3K56ac	Mnase	ATAQ	Transcripts_ds	Exons_ds	TE_ds	SNPs_ds	TSS_dt	TTS_dt	Telomere_dt	Centromere_dt	AT	CG	mCG	mCHG	Motif_ds	class
0.0270128777717313	0.752143421230505	0.0386847883213876	0.0873159781270655	0.0475153556921438	0	0	0	0	0.0625	0	0.0205676396679423	0.091959810409316	0.676555804411243	0	0.497772828507795	0.39086859688196	1	1	0.0112359550561798	0
0.0209918616979668	0.722513028814277	0.0356093455981743	0.0940369244884304	0.0430785095804001	0.0238095238095238	0	0	0	0	0.0119047619047619	0.150345405698297	0.151950800308918	0.690814574446314	0.00855778210821207	0.2728285077951	0.7271714922049	1	1	0.0112359550561798	0
0.022546174781321	0.755615065336201	0.035968728553711	0.0895078861185042	0.0434426109185315	0	0	0	0	0.03125	0	0.239965865345585	0.238780910701576	0.693527200265273	0.0109732659811647	0.486636971046771	0.402004454342984	1	1	0	0
0.0221044315531651	0.802633694364339	0.0222940532208201	0.0913102723801949	0.0225546230646796	0.0873015873015873	0	0	0	0	0.0119047619047619	0.169534820934663	0.170760331329406	0.699141069755485	0.0159721903162856	0.685968819599109	0.314031180400891	1	1	0.0337078651685393	0
0.0250003978906041	0.758725487573475	0.0363281115092477	0.0954002505425481	0.0452030893828155	0.00396825396825397	0	0	0	0.0625	0	0.205695276466157	0.22431932098672	0.704350069821199	0.0206105947600549	0.573496659242762	0.315144766146993	1	1	0.00561797752808989	0
0.0205336949001938	0.841378620371338	0.0355033430137629	0.0489094070176344	0.0284153701618298	0.0912698412698413	0	0	0	0.0625	0	0.0487891448778195	0.0308255220558172	0.705273171029351	0.0214325791509022	0.677060133630289	0.322939866369711	1	1	0.00561797752808989	0
0.0276837043987738	0.752143421230505	0.0386847883213876	0.0873159781270655	0.0475153556921438	0.00396825396825397	0	0	0	0.03125	0	0.178293154000532	0.181273377046201	0.71970466699721	0.034283244188931	0.665924276169265	0.334075723830735	1	1	0.0112359550561798	0
0.0144962552568121	0.785660605684303	0.0338124308204908	0.0997840665254254	0.0351482303993424	0.218253968253968	0.0256410256410256	0	0	0.1875	0	0.182424051337916	0.170457470811818	0.722116567762693	0.0364309445320705	0.458797327394209	0.541202672605791	1	1	0.00561797752808989	0
0.0178668119616413	0.758062516836517	0.0289458863645457	0.067804603956835	0.0109820198423433	0.111111111111111	0	0	0	0.09375	0.130952380952381	0.0686261367991587	0.077715901691476	0.725932322232955	0.039828719972254	0.611358574610245	0.388641425389755	1	1	0.0224719101123595	0
0.0250003978906041	0.747746489974673	0.0353029639348433	0.0915369278814768	0.0464393038613091	0.00793650793650794	0	0	0	0	0	0.230138936350575	0.247134182352318	0.732412109013736	0.045598708726235	0.56792873051225	0.432071269487751	1	1	0	0
